Fetching complete F1 historical results from Ergast API...
This will fetch all races from 1950 to present year-by-year.

📡 [68/75] Fetching 2017 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [69/75] Fetching 2018 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [70/75] Fetching 2019 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [71/75] Fetching 2020 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [72/75] Fetching 2021 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [73/75] Fetching 2022 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [74/75] Fetching 2023 results (offset=0)... 5 races ✓ Total: 5 races, 100 driver results
📡 [75/75] Fetching 2024 results (offset=0)... 6 races ✓ Total: 6 races, 100 driver results

💾 Saving complete dataset...

✅ Successfully saved complete F1 historical dataset!
📊 Total races: 370
📊 Total individual driver results: 7500
📊 Year range: 1950-2024 (75 seasons)
📊 File: f1resultsall/all_results.json
📊 File size: 6.95 MB
